TSA Study,Start,End
T001,149,296
T002,124,252
T003,109,274
T004,121,275
T005,127,308
T006,108,263
T007,113,264
T008,156,289
T009,130,299
T010,183,379
T011,111,234
T012,95,239
T013,126,315
T014,140,281
T015,145,272
T016,98,234
T017,166,334
T018,138,285
T019,112,253
T020,183,323
T021,149,337
T022,138,236
T023,155,300
T024,118,238
T025,182,372
T026,150,322
T027,131,267
T028,142,261
T029,154,288
T030,145,309
T031,139,346
T032,124,247
T033,131,326
T034,110,244
T035,118,273
T036,127,304
T037,202,381
T038,111,292
T039,150,268
T040,179,361
T041,135,280
T042,205,437
T043,168,353
T044,193,349
T045,139,344
T046,98,232
T047,166,323
T048,111,285
T049,157,324
T050,111,241
T051,120,252
T052,154,339
T053,149,291
T054,133,272
T055,114,249
T056,131,262
T057,150,280
T058,195,411
T059,196,412
T060,181,367
T061,197,393
T062,162,333
T063,168,340
T064,143,299
T065,157,324
T066,166,313
T067,102,263
T068,134,260
T069,159,349
T070,178,343
T071,139,302
T072,128,292
T073,131,308
T074,119,268
T075,144,294
T076,158,324
T077,120,250
T078,173,331
T079,135,269
T080,157,323
T081,129,305
T082,221,468
T083,117,292
T084,126,297
T085,128,276
T086,116,298
T087,172,360
T088,113,289
T089,141,279
T090,215,404
T091,167,314
T092,187,341
T093,137,284
T094,139,295
T095,103,216
T096,124,300
T097,147,319
T098,107,256
T099,158,343
T100,136,306
T101,148,281
T102,163,358
T103,139,291
T104,132,279
T105,136,262
T106,116,304
T107,128,269
T108,107,268
T109,177,337
T110,105,236
T111,161,307
T112,140,247
T113,164,330
T114,135,256
T115,105,288
T116,140,302
T117,129,276
T118,126,254
T119,138,310
T120,120,274
T121,153,320
T122,178,346
T123,130,252
T124,116,256
T125,111,253
T126,185,354
T127,171,323
T128,146,275
T129,171,310
T130,106,229
T131,148,283
T132,120,251
T133,115,253
T134,109,215
T135,180,365
T136,142,283
T137,153,294
T138,117,215
T139,117,235
T140,123,247
T141,128,294
T142,108,226
T143,128,309
T144,118,264
T145,145,289
T146,125,243
T148,129,254
T149,117,262
T150,139,285
T151,169,333
T152,122,271
T153,123,250
T154,154,308
T155,145,252
T156,150,291
T157,129,260
T158,110,232
T159,146,298
T160,145,283
T161,112,260
T162,133,252
T163,249,426
T164,104,255
T165,121,251
T166,124,242
T167,149,348
T168,115,276
T169,114,247
T170,122,268
T171,104,244
T172,118,235
T173,178,367
